,close price
2013/5/24,3459.14
2013/5/28,3488.89
2013/5/29,3467.52
2013/5/30,3491.3
2013/5/31,3455.91
2013/6/3,3465.37
2013/6/4,3445.26
2013/6/5,3401.48
2013/6/6,3424.05
2013/6/7,3469.22
2013/6/10,3473.77
2013/6/11,3436.95
2013/6/12,3400.43
2013/6/13,3445.37
2013/6/14,3423.56
2013/6/17,3452.13
2013/6/18,3482.18
2013/6/19,3443.2
2013/6/20,3364.63
2013/6/21,3357.25
2013/6/24,3320.76
2013/6/25,3347.89
2013/6/26,3376.22
2013/6/27,3401.86
2013/6/28,3403.25
2013/7/1,3434.49
2013/7/2,3433.4
2013/7/3,3443.67
2013/7/5,3479.38
2013/7/8,3484.83
2013/7/9,3504.26
2013/7/10,3520.76
2013/7/11,3578.3
2013/7/12,3600.08
2013/7/15,3607.49
2013/7/16,3598.5
2013/7/17,3610
2013/7/18,3611.28
2013/7/19,3587.61
2013/7/22,3600.39
2013/7/23,3579.27
2013/7/24,3579.6
2013/7/25,3605.19
2013/7/26,3613.16
2013/7/29,3599.14
2013/7/30,3616.47
2013/7/31,3626.37
2013/8/1,3675.74
2013/8/2,3689.59
2013/8/5,3692.95
2013/8/6,3665.77
2013/8/7,3654.01
2013/8/8,3669.12
2013/8/9,3660.11
2013/8/12,3669.95
2013/8/13,3684.44
2013/8/14,3669.27
2013/8/15,3606.12
2013/8/16,3602.78
2013/8/19,3589.09
2013/8/20,3613.59
2013/8/21,3599.79
2013/8/22,3638.71
2013/8/23,3657.79
2013/8/26,3657.57
2013/8/27,3578.52
2013/8/28,3593.35
2013/8/29,3620.3
2013/8/30,3589.87
2013/9/3,3612.61
2013/9/4,3649.04
2013/9/5,3658.78
2013/9/6,3660.01
2013/9/9,3706.18
2013/9/10,3729.02
2013/9/11,3725.01
2013/9/12,3715.97
2013/9/13,3722.18
2013/9/16,3717.85
2013/9/17,3745.7
2013/9/18,3783.64
2013/9/19,3789.38
2013/9/20,3774.73
2013/9/23,3765.29
2013/9/24,3768.25
2013/9/25,3761.1
2013/9/26,3787.43
2013/9/27,3781.59
2013/9/30,3771.48
2013/10/1,3817.98
2013/10/2,3815.02
2013/10/3,3774.34
2013/10/4,3807.75
2013/10/7,3770.38
2013/10/8,3694.83
2013/10/9,3677.78
2013/10/10,3760.75
2013/10/11,3791.87
2013/10/14,3815.27
2013/10/15,3794.01
2013/10/16,3839.43
2013/10/17,3863.15
2013/10/18,3914.28
2013/10/21,3920.05
2013/10/22,3929.57
2013/10/23,3907.07
2013/10/24,3928.96
2013/10/25,3943.36
2013/10/28,3940.13
2013/10/29,3952.34
2013/10/30,3930.62
2013/10/31,3919.71
2013/11/1,3922.04
2013/11/4,3936.59
2013/11/5,3939.86
2013/11/6,3931.95
2013/11/7,3857.33
2013/11/8,3919.23
2013/11/11,3919.79
2013/11/12,3919.92
2013/11/13,3965.58
2013/11/14,3972.74
2013/11/15,3985.97
2013/11/18,3949.07
2013/11/19,3931.55
2013/11/20,3921.27
2013/11/21,3969.15
2013/11/22,3991.65
2013/11/25,3994.57
2013/11/26,4017.75
2013/11/27,4044.75
2013/11/29,4059.89
2013/12/2,4045.26
2013/12/3,4037.2
2013/12/4,4038
2013/12/5,4033.16
2013/12/6,4062.52
2013/12/9,4068.75
2013/12/10,4060.49
2013/12/11,4003.81
2013/12/12,3998.4
2013/12/13,4000.98
2013/12/16,4029.52
2013/12/17,4023.68
2013/12/18,4070.06
2013/12/19,4058.13
2013/12/20,4104.74
2013/12/23,4148.9
2013/12/24,4155.42
2013/12/26,4167.18
2013/12/27,4156.59
2013/12/30,4154.2
2013/12/31,4176.59
2014/1/2,4143.07
2014/1/3,4131.91
2014/1/6,4113.68
2014/1/7,4153.18
2014/1/8,4165.61
2014/1/9,4156.19
2014/1/10,4174.66
2014/1/13,4113.3
2014/1/14,4183.02
2014/1/15,4214.88
2014/1/16,4218.69
2014/1/17,4197.58
2014/1/21,4225.76
2014/1/22,4243
2014/1/23,4218.87
2014/1/24,4128.17
2014/1/27,4083.61
2014/1/28,4097.96
2014/1/29,4051.43
2014/1/30,4123.13
2014/1/31,4103.88
2014/2/3,3996.96
2014/2/4,4031.52
2014/2/5,4011.55
2014/2/6,4057.12
2014/2/7,4125.86
2014/2/10,4148.17
2014/2/11,4191.04
2014/2/12,4201.29
2014/2/13,4240.67
2014/2/14,4244.03
2014/2/18,4272.78
2014/2/19,4237.95
2014/2/20,4267.55
2014/2/21,4263.41
2014/2/24,4292.97
2014/2/25,4287.59
2014/2/26,4292.06
2014/2/27,4318.93
2014/2/28,4308.12
2014/3/3,4277.3
2014/3/4,4351.97
2014/3/5,4357.97
2014/3/6,4352.13
2014/3/7,4336.22
2014/3/10,4334.45
2014/3/11,4307.19
2014/3/12,4323.33
2014/3/13,4260.42
2014/3/14,4245.4
2014/3/17,4279.95
2014/3/18,4333.31
2014/3/19,4307.6
2014/3/20,4319.29
2014/3/21,4276.79
2014/3/24,4226.39
2014/3/25,4234.27
2014/3/26,4173.58
2014/3/27,4151.23
2014/3/28,4155.76
2014/3/31,4198.99
2014/4/1,4268.04
2014/4/2,4276.46
2014/4/3,4237.74
2014/4/4,4127.73
2014/4/7,4079.75
2014/4/8,4112.99
2014/4/9,4183.9
2014/4/10,4054.11
2014/4/11,3999.73
2014/4/14,4022.69
2014/4/15,4034.16
2014/4/16,4086.23
2014/4/17,4095.52
2014/4/21,4121.55
2014/4/22,4161.46
2014/4/23,4126.97
2014/4/24,4148.34
2014/4/25,4075.56
2014/4/28,4074.4
2014/4/29,4103.54
2014/4/30,4114.56
2014/5/1,4127.45
2014/5/2,4123.9
2014/5/5,4138.06
2014/5/6,4080.76
2014/5/7,4067.67
2014/5/8,4051.5
2014/5/9,4071.87
2014/5/12,4143.86
2014/5/13,4130.17
2014/5/14,4100.63
2014/5/15,4069.29
2014/5/16,4090.59
2014/5/19,4125.82
2014/5/20,4096.89
2014/5/21,4131.54
2014/5/22,4154.34
2014/5/23,4185.81
2014/5/27,4237.07
2014/5/28,4225.07
2014/5/29,4247.95
2014/5/30,4242.62
2014/6/2,4237.2
2014/6/3,4234.08
2014/6/4,4251.64
2014/6/5,4296.23
2014/6/6,4321.4
2014/6/9,4336.24
2014/6/10,4338
2014/6/11,4331.93
2014/6/12,4297.63
2014/6/13,4310.65
2014/6/16,4321.11
2014/6/17,4337.23
2014/6/18,4362.84
2014/6/19,4359.33
2014/6/20,4368.04
2014/6/23,4368.68
2014/6/24,4350.36
2014/6/25,4379.76
2014/6/26,4379.05
2014/6/27,4397.93
2014/6/30,4408.18
2014/7/1,4458.65
2014/7/2,4457.73
2014/7/3,4485.93
2014/7/7,4451.53
2014/7/8,4391.46
2014/7/9,4419.03
2014/7/10,4396.2
2014/7/11,4415.49
2014/7/14,4440.42
2014/7/15,4416.39
2014/7/16,4425.97
2014/7/17,4363.45
2014/7/18,4432.15
2014/7/21,4424.7
2014/7/22,4456.02
2014/7/23,4473.7
2014/7/24,4472.11
2014/7/25,4449.56
2014/7/28,4444.91
2014/7/29,4442.7
2014/7/30,4462.9
2014/7/31,4369.77
2014/8/1,4352.64
2014/8/4,4383.89
2014/8/5,4352.84
2014/8/6,4355.05
2014/8/7,4334.97
2014/8/8,4370.9
2014/8/11,4401.33
2014/8/12,4389.25
2014/8/13,4434.13
2014/8/14,4453
2014/8/15,4464.93
2014/8/18,4508.31
2014/8/19,4527.51
2014/8/20,4526.48
2014/8/21,4532.1
2014/8/22,4538.55
2014/8/25,4557.35
2014/8/26,4570.64
2014/8/27,4569.62
2014/8/28,4557.69
2014/8/29,4580.27
2014/9/2,4598.19
2014/9/3,4572.57
2014/9/4,4562.29
2014/9/5,4582.9
2014/9/8,4592.29
2014/9/9,4552.29
2014/9/10,4586.52
2014/9/11,4591.81
2014/9/12,4567.6
2014/9/15,4518.9
2014/9/16,4552.76
2014/9/17,4562.19
2014/9/18,4593.43
2014/9/19,4579.79
2014/9/22,4527.69
2014/9/23,4508.69
2014/9/24,4555.22
2014/9/25,4466.75
2014/9/26,4512.19
2014/9/29,4505.85
2014/9/30,4493.39
2014/10/1,4422.09
2014/10/2,4430.19
2014/10/3,4475.62
2014/10/6,4454.8
2014/10/7,4385.2
2014/10/8,4468.59
2014/10/9,4378.34
2014/10/10,4276.24
2014/10/13,4213.66
2014/10/14,4227.17
2014/10/15,4215.32
2014/10/16,4217.39
2014/10/17,4258.44
2014/10/20,4316.07
2014/10/21,4419.48
2014/10/22,4382.85
2014/10/23,4452.79
2014/10/24,4483.72
2014/10/27,4485.93
2014/10/28,4564.29
2014/10/29,4549.23
2014/10/30,4566.14
2014/10/31,4630.74
2014/11/3,4638.91
2014/11/4,4623.64
2014/11/5,4620.72
2014/11/6,4638.47
2014/11/7,4632.53
2014/11/10,4651.62
2014/11/11,4660.56
2014/11/12,4675.13
2014/11/13,4680.14
2014/11/14,4688.54
2014/11/17,4671
2014/11/18,4702.44
2014/11/19,4675.71
2014/11/20,4701.87
2014/11/21,4712.97
2014/11/24,4754.89
2014/11/25,4758.25
2014/11/26,4787.32
2014/11/28,4791.63
2014/12/1,4727.35
2014/12/2,4755.81
2014/12/3,4774.47
2014/12/4,4769.44
2014/12/5,4780.76
2014/12/8,4740.69
2014/12/9,4766.47
2014/12/10,4684.03
2014/12/11,4708.16
2014/12/12,4653.6
2014/12/15,4605.16
2014/12/16,4547.83
2014/12/17,4644.31
2014/12/18,4748.4
2014/12/19,4765.38
2014/12/22,4781.42
2014/12/23,4765.42
2014/12/24,4773.47
2014/12/26,4806.86
2014/12/29,4806.91
2014/12/30,4777.44
2014/12/31,4736.05
2015/1/2,4726.81
2015/1/5,4652.57
2015/1/6,4592.74
2015/1/7,4650.47
2015/1/8,4736.19
2015/1/9,4704.07
2015/1/12,4664.71
2015/1/13,4661.5
2015/1/14,4639.32
2015/1/15,4570.82
2015/1/16,4634.38
2015/1/20,4654.85
2015/1/21,4667.42
2015/1/22,4750.4
2015/1/23,4757.88
2015/1/26,4771.76
2015/1/27,4681.5
2015/1/28,4637.99
2015/1/29,4683.41
2015/1/30,4635.24
2015/2/2,4676.69
2015/2/3,4727.74
2015/2/4,4716.7
2015/2/5,4765.1
2015/2/6,4744.4
2015/2/9,4726.01
2015/2/10,4787.64
2015/2/11,4801.18
2015/2/12,4857.61
2015/2/13,4893.84
2015/2/17,4899.27
2015/2/18,4906.36
2015/2/19,4924.7
2015/2/20,4955.97
2015/2/23,4960.97
2015/2/24,4968.12
2015/2/25,4967.14
2015/2/26,4987.89
2015/2/27,4963.53
2015/3/2,5008.1
2015/3/3,4979.9
2015/3/4,4967.14
2015/3/5,4982.81
2015/3/6,4927.37
2015/3/9,4942.44
2015/3/10,4859.79
2015/3/11,4849.94
2015/3/12,4893.29
2015/3/13,4871.76
2015/3/16,4929.51
2015/3/17,4937.43
2015/3/18,4982.83
2015/3/19,4992.38
2015/3/20,5026.42
2015/3/23,5010.97
2015/3/24,4994.73
2015/3/25,4876.52
2015/3/26,4863.36
2015/3/27,4891.22
2015/3/30,4947.44
2015/3/31,4900.88
2015/4/1,4880.23
2015/4/2,4886.94
2015/4/6,4917.32
2015/4/7,4910.23
2015/4/8,4950.82
2015/4/9,4974.56
2015/4/10,4995.98
2015/4/13,4988.25
2015/4/14,4977.29
2015/4/15,5011.02
2015/4/16,5007.79
2015/4/17,4931.81
2015/4/20,4994.6
2015/4/21,5014.1
2015/4/22,5035.17
2015/4/23,5056.06
2015/4/24,5092.08
2015/4/27,5060.25
2015/4/28,5055.42
2015/4/29,5023.64
2015/4/30,4941.42
2015/5/1,5005.39
2015/5/4,5016.93
2015/5/5,4939.33
2015/5/6,4919.64
2015/5/7,4945.54
2015/5/8,5003.55
2015/5/11,4993.57
2015/5/12,4976.19
2015/5/13,4981.69
2015/5/14,5050.8
2015/5/15,5048.29
2015/5/18,5078.44
2015/5/19,5070.03
2015/5/20,5071.74
2015/5/21,5090.79
2015/5/22,5089.36
2015/5/26,5032.75
2015/5/27,5106.59
2015/5/28,5097.98
2015/5/29,5070.03
2015/6/1,5082.93
2015/6/2,5076.52
2015/6/3,5099.23
2015/6/4,5059.12
2015/6/5,5068.46
2015/6/8,5021.63
2015/6/9,5013.87
2015/6/10,5076.69
2015/6/11,5082.51
2015/6/12,5051.1
2015/6/15,5029.97
2015/6/16,5055.55
2015/6/17,5064.88
2015/6/18,5132.95
2015/6/19,5117
2015/6/22,5153.97
2015/6/23,5160.09
2015/6/24,5122.41
2015/6/25,5112.19
2015/6/26,5080.51
2015/6/29,4958.47
2015/6/30,4986.87
2015/7/1,5013.12
2015/7/2,5009.21
2015/7/6,4991.94
2015/7/7,4997.46
2015/7/8,4909.76
2015/7/9,4922.4
2015/7/10,4997.7
2015/7/13,5071.51
2015/7/14,5104.89
2015/7/15,5098.94
2015/7/16,5163.18
2015/7/17,5210.14
2015/7/20,5218.86
2015/7/21,5208.12
2015/7/22,5171.77
2015/7/23,5146.41
2015/7/24,5088.63
2015/7/27,5039.78
2015/7/28,5089.21
2015/7/29,5111.73
2015/7/30,5128.78
2015/7/31,5128.28
2015/8/3,5115.38
2015/8/4,5105.55
2015/8/5,5139.94
2015/8/6,5056.44
2015/8/7,5043.54
2015/8/10,5101.8
2015/8/11,5036.79
2015/8/12,5044.39
2015/8/13,5033.56
2015/8/14,5048.24
2015/8/17,5091.7
2015/8/18,5059.35
2015/8/19,5019.05
2015/8/20,4877.49
2015/8/21,4706.04
2015/8/24,4526.25
2015/8/25,4506.49
2015/8/26,4697.54
2015/8/27,4812.71
2015/8/28,4828.32
2015/8/31,4776.51
2015/9/1,4636.1
2015/9/2,4749.98
2015/9/3,4733.5
2015/9/4,4683.92
2015/9/8,4811.93
2015/9/9,4756.53
2015/9/10,4796.25
2015/9/11,4822.34
2015/9/14,4805.76
2015/9/15,4860.52
2015/9/16,4889.24
2015/9/17,4893.95
2015/9/18,4827.23
2015/9/21,4828.95
2015/9/22,4756.72
2015/9/23,4752.74
2015/9/24,4734.48
2015/9/25,4686.5
2015/9/28,4543.97
2015/9/29,4517.32
2015/9/30,4620.16
2015/10/1,4627.08
2015/10/2,4707.78
2015/10/5,4781.26
2015/10/6,4748.36
2015/10/7,4791.15
2015/10/8,4810.79
2015/10/9,4830.47
2015/10/12,4838.64
2015/10/13,4796.61
2015/10/14,4782.85
2015/10/15,4870.1
2015/10/16,4886.69
2015/10/19,4905.47
2015/10/20,4880.97
2015/10/21,4840.12
2015/10/22,4920.05
2015/10/23,5031.86
2015/10/26,5034.7
2015/10/27,5030.15
2015/10/28,5095.69
2015/10/29,5074.27
2015/10/30,5053.75
2015/11/2,5127.15
2015/11/3,5145.13
2015/11/4,5142.48
2015/11/5,5127.74
2015/11/6,5147.12
2015/11/9,5095.3
2015/11/10,5083.24
2015/11/11,5067.02
2015/11/12,5005.08
2015/11/13,4927.88
2015/11/16,4984.62
2015/11/17,4986.01
2015/11/18,5075.2
2015/11/19,5073.64
2015/11/20,5104.92
2015/11/23,5102.48
2015/11/24,5102.81
2015/11/25,5116.14
2015/11/27,5127.52
2015/11/30,5108.67
2015/12/1,5156.31
2015/12/2,5123.22
2015/12/3,5037.52
2015/12/4,5142.27
2015/12/7,5101.81
2015/12/8,5098.24
2015/12/9,5022.87
2015/12/10,5045.17
2015/12/11,4933.47
2015/12/14,4952.23
2015/12/15,4995.36
2015/12/16,5071.13
2015/12/17,5002.55
2015/12/18,4923.08
2015/12/21,4968.92
2015/12/22,5001.11
2015/12/23,5045.93
2015/12/24,5048.49
2015/12/28,5040.99
2015/12/29,5107.94
2015/12/30,5065.85
2015/12/31,5007.41
2016/1/4,4903.09
2016/1/5,4891.43
2016/1/6,4835.76
2016/1/7,4689.43
2016/1/8,4643.63
2016/1/11,4637.99
2016/1/12,4685.92
2016/1/13,4526.06
2016/1/14,4615
2016/1/15,4488.42
2016/1/19,4476.95
2016/1/20,4471.69
2016/1/21,4472.05
2016/1/22,4591.18
2016/1/25,4518.49
2016/1/26,4567.67
2016/1/27,4468.17
2016/1/28,4506.68
2016/1/29,4613.95
2016/2/1,4620.37
2016/2/2,4516.95
2016/2/3,4504.24
2016/2/4,4509.56
2016/2/5,4363.14
2016/2/8,4283.75
2016/2/9,4268.76
2016/2/10,4283.59
2016/2/11,4266.84
2016/2/12,4337.51
2016/2/16,4435.96
2016/2/17,4534.06
2016/2/18,4487.54
2016/2/19,4504.43
2016/2/22,4570.61
2016/2/23,4503.58
2016/2/24,4542.61
2016/2/25,4582.2
2016/2/26,4590.47
2016/2/29,4557.95
2016/3/1,4689.6
2016/3/2,4703.42
2016/3/3,4707.42
2016/3/4,4717.02
2016/3/7,4708.25
2016/3/8,4648.82
2016/3/9,4674.38
2016/3/10,4662.16
2016/3/11,4748.47
2016/3/14,4750.28
2016/3/15,4728.67
2016/3/16,4763.97
2016/3/17,4774.99
2016/3/18,4795.65
2016/3/21,4808.87
2016/3/22,4821.66
2016/3/23,4768.86
2016/3/24,4773.5
2016/3/28,4766.79
2016/3/29,4846.62
2016/3/30,4869.29
2016/3/31,4869.85
2016/4/1,4914.54
2016/4/4,4891.8
2016/4/5,4843.93
2016/4/6,4920.72
2016/4/7,4848.37
2016/4/8,4850.69
2016/4/11,4833.4
2016/4/12,4872.09
2016/4/13,4947.42
2016/4/14,4945.89
2016/4/15,4938.22
2016/4/18,4960.02
2016/4/19,4940.33
2016/4/20,4948.13
2016/4/21,4945.89
2016/4/22,4906.23
2016/4/25,4895.79
2016/4/26,4888.28
2016/4/27,4863.14
2016/4/28,4805.29
2016/4/29,4775.36
2016/5/2,4817.59
2016/5/3,4763.22
2016/5/4,4725.64
2016/5/5,4717.09
2016/5/6,4736.16
2016/5/9,4750.21
2016/5/10,4809.88
2016/5/11,4760.69
2016/5/12,4737.33
2016/5/13,4717.68
2016/5/16,4775.46
2016/5/17,4715.73
2016/5/18,4739.12
2016/5/19,4712.53
2016/5/20,4769.56
2016/5/23,4765.78
2016/5/24,4861.06
2016/5/25,4894.89
2016/5/26,4901.77
2016/5/27,4933.5
2016/5/31,4948.05
2016/6/1,4952.25
2016/6/2,4971.36
2016/6/3,4942.52
2016/6/6,4968.71
2016/6/7,4961.75
2016/6/8,4974.64
2016/6/9,4958.62
2016/6/10,4894.55
2016/6/13,4848.44
2016/6/14,4843.55
2016/6/15,4834.93
2016/6/16,4844.91
2016/6/17,4800.34
2016/6/20,4837.21
2016/6/21,4843.76
2016/6/22,4833.32
2016/6/23,4910.04
2016/6/24,4707.98
2016/6/27,4594.44
2016/6/28,4691.87
2016/6/29,4779.25
2016/6/30,4842.67
2016/7/1,4862.57
2016/7/5,4822.9
2016/7/6,4859.16
2016/7/7,4876.81
2016/7/8,4956.76
2016/7/11,4988.64
2016/7/12,5022.82
2016/7/13,5005.73
2016/7/14,5034.06
2016/7/15,5029.59
2016/7/18,5055.78
2016/7/19,5036.37
2016/7/20,5089.93
2016/7/21,5073.9
2016/7/22,5100.16
2016/7/25,5097.63
2016/7/26,5110.05
2016/7/27,5139.81
2016/7/28,5154.98
2016/7/29,5162.13
2016/8/1,5184.2
2016/8/2,5137.73
2016/8/3,5159.74
2016/8/4,5166.25
2016/8/5,5221.12
2016/8/8,5213.14
2016/8/9,5225.48
2016/8/10,5204.58
2016/8/11,5228.4
2016/8/12,5232.89
2016/8/15,5262.02
2016/8/16,5227.11
2016/8/17,5228.66
2016/8/18,5240.15
2016/8/19,5238.38
2016/8/22,5244.6
2016/8/23,5260.08
